[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0〜W3,バンクNo：W70,金型名：W71〜W77,SPM(設定値)：W78〜W79,SPM(実測値)：D2510,ショット数：W30〜W31,ゼロリセット：ブランクW4,トリガー：B2
2021/02/28 01:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 02:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 03:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 04:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 05:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 06:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 07:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 08:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 09:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 10:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 11:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 12:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 13:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 14:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 15:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 16:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 17:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 18:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 19:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 20:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 21:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 22:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/28 23:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 00:00:00,No.24SC,24,19T001       ,200,0,0,0,1
